sleepEndTimestampGMT,retro,awakeSleepSeconds,deepSleepSeconds,sleepStartTimestampGMT,lightSleepSeconds,calendarDate,sleepWindowConfirmationType,unmeasurableSeconds
2022-01-16T15:27:00.0,false,300.0,1200.0,2022-01-16T05:41:00.0,23520.0,2022-01-16,ENHANCED_CONFIRMED_FINAL,0.0
2022-01-23T14:30:00.0,false,0.0,1860.0,2022-01-23T05:46:00.0,18720.0,2022-01-23,ENHANCED_CONFIRMED,0.0
2022-01-25T13:41:00.0,false,300.0,1260.0,2022-01-25T04:55:00.0,18420.0,2022-01-25,ENHANCED_CONFIRMED,0.0
2022-01-27T14:05:00.0,false,0.0,0.0,2022-01-27T05:50:00.0,18000.0,2022-01-27,ENHANCED_CONFIRMED_FINAL,0.0
2022-02-04T14:28:00.0,false,240.0,0.0,2022-02-04T04:55:00.0,16860.0,2022-02-04,ENHANCED_CONFIRMED_FINAL,0.0
2022-03-03T13:34:00.0,false,0.0,1440.0,2022-03-03T05:47:00.0,19680.0,2022-03-03,ENHANCED_CONFIRMED_FINAL,0.0
2022-03-19T14:41:00.0,false,120.0,3300.0,2022-03-19T04:38:00.0,20160.0,2022-03-19,ENHANCED_CONFIRMED,0.0
2022-04-02T16:42:00.0,false,240.0,2040.0,2022-04-02T03:38:00.0,28860.0,2022-04-02,ENHANCED_CONFIRMED,0.0
2022-04-05T12:51:00.0,false,240.0,2280.0,2022-04-05T04:28:00.0,12060.0,2022-04-05,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-08T12:47:00.0,false,120.0,0.0,2022-04-08T04:39:00.0,17460.0,2022-04-08,ENHANCED_CONFIRMED,0.0
2022-04-09T13:38:00.0,false,180.0,0.0,2022-04-09T04:43:00.0,18300.0,2022-04-09,ENHANCED_CONFIRMED,0.0
2022-04-10T13:34:00.0,false,180.0,2220.0,2022-04-10T04:44:00.0,16620.0,2022-04-10,ENHANCED_CONFIRMED,0.0
2022-04-11T15:42:00.0,false,120.0,2340.0,2022-04-11T04:48:00.0,21900.0,2022-04-11,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-13T14:05:00.0,false,0.0,2940.0,2022-04-13T05:55:00.0,18540.0,2022-04-13,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-14T14:06:00.0,false,240.0,3060.0,2022-04-14T04:39:00.0,18480.0,2022-04-14,ENHANCED_CONFIRMED_FINAL,840.0
